"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"50","CO_83036","2850-57557_2850-57609","2811-83036","Cooks","kid","Cooks-24",33,"2","Cook's_33_2","CO_57609",0.272,0.654,0.074,0.401,59872,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.272,0.618,0.11,0.419,62083,"2850-57557","Cooks","dad","Cooks-24"
"51","CO_83037","2850-57552_2850-57551","2811-83037","Struthers","kid","Struthers-20",10,"2","Struther's_10_2","CO_57551",0.323,0.594,0.083,0.38,61813,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.318,0.574,0.108,0.395,66210,"2850-57552","Struthers","dad","Struthers-20"
"52","CO_83038","2850-57552_2850-57551","2811-83038","Struthers","kid","Struthers-20",10,"2","Struther's_10_2","CO_57551",0.346,0.536,0.118,0.386,57767,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.315,0.586,0.099,0.392,61815,"2850-57552","Struthers","dad","Struthers-20"
"53","CO_83039","2850-57552_2850-57551","2811-83039","Struthers","kid","Struthers-20",10,"2","Struther's_10_2","CO_57551",0.365,0.527,0.107,0.371,57017,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.334,0.567,0.1,0.383,60859,"2850-57552","Struthers","dad","Struthers-20"
"54","CO_83040","2850-57552_2850-57551","2811-83040","Struthers","kid","Struthers-20",10,"2","Struther's_10_2","CO_57551",0.337,0.564,0.099,0.381,61355,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.287,0.658,0.055,0.384,65635,"2850-57552","Struthers","dad","Struthers-20"
"55","CO_83041","2510-63488_2640-97596","2811-83041","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2","CO_97596",0.283,0.597,0.12,0.418,56091,"2640-97596","Make Believe","mom","MakeBelieve-20","CO_63488",0.279,0.616,0.105,0.413,59806,"2510-63488","Make Believe","dad","MakeBelieve-17"
"56","CO_83042","2510-63488_2640-97596","2811-83042","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2","CO_97596",0.301,0.596,0.103,0.401,59599,"2640-97596","Make Believe","mom","MakeBelieve-20","CO_63488",0.236,0.701,0.063,0.413,63629,"2510-63488","Make Believe","dad","MakeBelieve-17"
"57","CO_83043","2850-57518_2640-97596","2811-83043","Make Believe","kid","MakeBelieve-20",73,"2","Make Believe_73_2","CO_97596",0.316,0.573,0.111,0.398,60288,"2640-97596","Make Believe","mom","MakeBelieve-20","CO_57518",0.32,0.558,0.123,0.402,60065,"2850-57518","Make Believe","dad","MakeBelieve-69"
"58","CO_83044","NA_2850-57556","2811-83044","Schaaps","kid","Schaaps-80",80,"2","Schaap's_80_2","CO_57556",0.27,0.639,0.091,0.411,64847,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CO_83045","2850-57538_2850-57556","2811-83045","Schaaps","kid","Schaaps-80",80,"2","Schaap's_80_2","CO_57556",0.281,0.606,0.113,0.416,60760,"2850-57556","Schaaps","mom","Schaaps-80","CO_57538",0.329,0.542,0.129,0.4,51477,"2850-57538","Schaaps","dad","Schaaps-80"
